CityMunRes,CityMunCoord
HINGYON,"16.8511489, 121.0991923"
SOFRONIO ESPAÑOLA,"8.9636169, 118.0004439"
PIKIT,"7.0537358, 124.6722475"
CAPOOCAN,"11.2932356, 124.6426843"
JAGNA,"9.6501914, 124.3661633"
BORBON,"10.8379222, 124.0305935"
CAIBIRAN,"11.5723202, 124.5813362"
SUMILAO,"8.3288596, 124.9796874"
SINACABAN,"8.2852005, 123.8428482"
DAET (CAPITAL),"14.64668450289037, 121.00224793611933"
BILIRAN,"11.6, 124.49"
CITY OF VIGAN (CAPITAL),"17.5705, 120.3873"
ALCANTARA,"9.970227, 123.4029243"
CANDIJAY,"9.832764399999999, 124.49218376418239"
LUMBATAN,"7.7848782, 124.2552241"
BAGAMANOC,"13.9396368, 124.2878298"
SAN JOSE (CAPITAL),"14.6390684, 120.9933863"
KANANGA,"11.1847129, 124.561077"
PALOMPON,"11.0483792, 124.3825547"
SILAY CITY,"10.7994126, 122.9756149"
SAN REMIGIO,"11.0835479, 123.9366262"
CADIZ CITY,"10.9534091, 123.32437700811664"
CITY OF HIMAMAYLAN,"10.0988, 122.8710"
MOISES PADILLA (MAGALLON),"10.2704, 123.0758"
SANTA FE,"11.1537949, 123.8068632"
TALIBON,"10.1508006, 124.3269236"
ALABAT,"14.1057926, 122.0147195"
PANAON,"8.362795, 123.8409132"
MATUNGAO,"8.1332196, 124.1671308"
CITY OF CABADBARAN,"9.1232854, 125.5322317"
DULAG,"10.9532437, 125.0334522"
BINALBAGAN,"10.1937474, 122.8587743"
MALITBOG,"8.5328902, 124.8800965"
CLAVERIA,"18.6051605, 121.080641"
ANINI-Y,"10.4315482, 121.9249048"
TUBIGON,"9.9515287, 123.9618897"
LEON,"10.7806107, 122.3873916"
INABANGA,"10.0308864, 124.0656561"
ALAMADA,"7.3797893, 124.5565375"
PICONG (SULTAN GUMANDER),"7.6692304, 123.9670127245461"
ALORAN,"8.4164194, 123.8210876"
PUALAS,"7.8201575, 124.0801292"
GLAN,"5.8226991, 125.2049049"
MAIGO,"8.1586175, 123.9610824"
SAGUIARAN,"8.0340831, 124.2687239"
MADALUM,"7.8540188, 124.1140094"
LOON,"9.7997626, 123.7945228"
SAPANG DALAGA,"8.5422258, 123.5670307"
KITCHARAO,"9.4554207, 125.5755314"
DUEÑAS,"11.0651622, 122.6182682"
TANGUB CITY,"8.0609053, 123.7512585"
BULDON,"7.5144498, 124.3710663"
HADJI MUHTAMAD,"6.6595969, 121.6045202"
NEW BATAAN,"7.5480137, 126.1371638"
MARGOSATUBIG,"7.5755699, 123.1659362"
SIBUNAG,"10.5036984, 122.6306958"
LIBUNGAN,"7.2417, 124.5175504"
OROQUIETA CITY (CAPITAL),"14.6078103, 120.9827151"
TIWI,"13.4569196, 123.6796912"
BOSTON,"7.8703434, 126.3764259"
SALVADOR,"7.9031902, 123.8408099"
CLARIN,"9.9626104, 124.0244228"
MAHAPLAG,"10.6052385, 124.9646732"
SIGMA,"11.4211672, 122.6658275"
BACLAYON,"9.6221823, 123.9131571"
SINILOAN,"14.4215284, 121.444412"
BUGALLON,"15.9540627, 120.2149613"
GASAN,"13.3241764, 121.8467339"
DINAS,"7.61586, 123.3391016"
LINGIG,"8.0383384, 126.4122956"
TABINA,"7.4632266, 123.4091717"
TUKURAN,"7.8539377, 123.5800322"
BINGAWAN,"11.233264, 122.5669641"
TALAVERA,"15.5843049, 120.917903"
CATARMAN (CAPITAL),"14.7486426, 121.07371434999999"
MOLAVE,"8.0927689, 123.4849176"
GUIPOS,"7.7292028, 123.321345"
TULUNAN,"6.8300214, 124.8736479"
ALEGRIA,"9.7293873, 123.3396747"
SAN ENRIQUE,"11.0724172, 122.6558905"
CLAVER,"9.5730277, 125.7326841"
ILAGAN CITY (CAPITAL),"14.646629244394669, 121.02527800023196"
MALABANG,"7.5927798, 124.0686251"
SANTA TERESITA,"13.8694631, 120.9766388"
CALATRAVA,"10.5940442, 123.4763844"
IMELDA,"7.6419191, 122.9357772"
MALALAG,"6.5918589, 125.4008825"
TAMBULIG,"8.0692761, 123.536314"
AL-BARKA,"6.41344265, 122.26348327639519"
MACO,"7.368797, 125.8556637"
MANAPLA,"10.92318465, 123.12223676623185"
BANTAY,"17.5820178, 120.3896288"
LEYTE,"10.95, 124.85"
CITY OF VICTORIAS,"10.9013412, 123.0714943"
MABINI (DOÑA ALICIA),"7.3001, 125.9370"
TUBARAN,"7.7450128, 124.1841657"
ILOG,"10.0242067, 122.7691808"
BINIDAYAN,"7.7949244, 124.1670371"
BINMALEY,"16.0289195, 120.2684844"
TUBUNGAN,"10.7653357, 122.318261"
ISABELA,"17.0, 122.0"
MINALIN,"14.9681787, 120.6849187"
CITY OF BISLIG,"8.2130815, 126.3156173"
LOBOC,"9.6370754, 124.0308694"
ZUMARRAGA,"11.6381908, 124.8403412"
TOLOSA,"11.0634389, 125.0375888"
UMINGAN,"15.9272139, 120.8407438"
BUSUANGA,"12.1318372, 119.9370716"
LAVEZARES,"12.534318, 124.3305278"
CALAPE,"9.8905133, 123.8718668"
GABALDON (BITULOK & SABANI),"15.455720417705164, 121.36226570342605"
MANUKAN,"8.5161638, 123.0919375"
VALENCIA (LUZURRIAGA),"9.2817803, 123.2446771"
CITY OF CANDON,"17.1874, 120.4467"
MARAGUSAN (SAN MARIANO),"7.3362, 126.1328"
SAINT BERNARD,"10.2794927, 125.1394863"
PIÑAN (NEW PIÑAN),"8.3924, 123.4271"
SAN ROQUE,"12.5397442, 124.8748842"
POLANCO,"8.531082, 123.3629972"
LUPON,"6.8977121, 126.0118409"
SAN JORGE,"11.9789352, 124.8248769"
TRENTO,"8.043508, 126.0633157"
MUTIA,"8.4200174, 123.4762768"
CITY OF PASSI,"11.1043309, 122.6438583"
BANSALAN,"6.7869339, 125.2108071"
ARINGAY,"16.390563669004045, 120.35615547197358"
SULTAN NAGA DIMAPORO (KAROMATAN),"7.79207595, 123.71620378547692"
MANGATAREM,"15.7885355, 120.2938639"
SAN VICENTE,"10.5270058, 119.2562819"
AGUILAR,"15.8890372, 120.2384199"
SALUG,"8.1074204, 122.7576885"
MALINAO,"13.3974574, 123.7049776"
SIBUCO,"7.2924807, 122.0667351"
PASACAO,"13.5102072, 123.0411504"
DUERO,"9.7084523, 124.406042"
POZORRUBIO,"16.1102814, 120.5452288"
AMLAN (AYUQUITAN),"9.4444, 123.1801"
LUPAO,"15.8770143, 120.8995214"
NUEVA VALENCIA,"10.5264005, 122.5400201"
PONTEVEDRA,"10.3751168, 122.866821"
BULA,"13.4683491, 123.2778401"
BALATAN,"13.3404136, 123.2523634155423"
CITY OF GUIHULNGAN,"10.1206, 123.2717"
VALDERRAMA,"11.0018524, 122.129408"
SANTA CATALINA,"17.5888763, 120.3633196"
LAAK (SAN VICENTE),"7.5969823000000005, 125.7589234"
VALENCIA,"7.9028844, 125.0898033"
MASANTOL,"14.8928667, 120.7052547"
CARAGA,"9.2471392, 125.85395915843998"
ESPERANZA,"6.722561, 124.5205706"
PIGKAWAYAN,"7.2785835, 124.424275"
UPI,"7.0103624, 124.160434"
SAN DIONISIO,"11.2711575, 123.0949468"
BATAD,"11.4180961, 123.1099182"
LABRADOR,"16.025725, 120.1464644"
SIBAGAT,"8.996050050000001, 125.75887844157515"
MONKAYO,"7.8239526, 126.0536908"
DANGCAGAN,"7.6121042, 125.0071631"
BARUGO,"11.3246577, 124.734946"
PANGANTUCAN,"7.8297721, 124.8288119"
DARAM,"11.6349892, 124.7957703"
CARLES,"11.5735531, 123.133556"
JOSE DALMAN (PONOT),"8.3803, 123.0564"
PILILLA,"14.4811791, 121.3075948"
ANTEQUERA,"9.7809304, 123.8981433"
SAN JUAN (CABALIAN),"10.275326549999999, 125.17062983737031"
DUMANGAS,"10.8215809, 122.712398"
SIBUTAD,"8.6126898, 123.4801814"
ABRA DE ILOG,"13.4444905, 120.7288218"
PANITAN,"11.4631934, 122.7687618"
PARANAS (WRIGHT),"11.7836179, 125.01779847106327"
CATIGBIAN,"9.8593137, 124.0053953"
AMULUNG,"17.8363234, 121.7231165"
BAGO CITY,"10.539521350000001, 122.84313984331465"
MAINIT,"9.537827, 125.5225869"
MANITO,"13.1242602, 123.8677604"
BATARAZA,"8.6733047, 117.6286933"
BRAULIO E. DUJALI,"7.448674, 125.6895921"
SAN LORENZO,"10.5919964, 122.7021327"
SILAGO,"10.5285405, 125.1623205"
CATARMAN,"12.499648, 124.6364767"
MADALAG,"11.5265494, 122.306494"
NARVACAN,"17.4194242, 120.4769173"
SAN JOAQUIN,"10.5870845, 122.1417478"
BUADIPOSO-BUNTONG,"7.9654, 124.37615"
LAPUYAN,"7.6365859, 123.1981442"
TUBOD,"8.0486582, 123.7961839"
BABATNGON,"11.4231843, 124.8448166"
MOTIONG,"11.7782064, 124.9986798"
DEL CARMEN,"9.8687641, 125.9705006"
SIOCON,"7.7064072, 122.1359108"
SAPAD,"7.8458435, 123.8364762"
LIBONA,"8.3322722, 124.7474107"
NABUA,"13.4075246, 123.3730644"
POTOTAN,"10.9421197, 122.6358296"
KAWAYAN,"11.9283971, 123.7692131"
SULTAN MASTURA,"7.2981511, 124.2852328"
LORETO,"8.1871373, 125.8531529"
PINTUYAN,"9.9443786, 125.2489351"
CANTILAN,"9.3357754, 125.9770212"
VINCENZO A. SAGUN,"7.5150492, 123.1708909"
CULASI,"11.4257994, 122.0561023"
LANTAWAN,"6.6383734, 121.84012"
LAKEWOOD,"7.8545421, 123.1515109"
BARBAZA,"11.1958667, 122.0389309"
KABUGAO (CAPITAL),"18.0172, 121.1842"
MAASIN,"10.1325061, 124.8385147"
MAGSINGAL,"17.6851901, 120.4257345"
JULITA,"10.9723393, 124.9623212"
LEGANES,"10.785528, 122.5888137"
ASUNCION (SAUG),"7.5382999, 125.753854"
TAGOLOAN,"8.1268565, 124.2767478"
DUMINGAG,"8.1544879, 123.3448435"
PRESENTACION (PARUBCAN),"13.7367, 123.7406"
LALA,"7.9733694, 123.7476509"
CABUCGAYAN,"11.4729535, 124.5749974"
BURGOS,"16.0593938, 119.8649284"
SAN JACINTO,"16.0735396, 120.4370716"
GUBAT,"12.9176112, 124.1231882"
PILI (CAPITAL),"13.5579093, 123.269508158341"
CATEEL,"7.7901142, 126.4537908"
CANAMAN,"13.637844099999999, 123.14634322306654"
SIQUIJOR (CAPITAL),"9.21386205, 123.51426605"
ALBUERA,"10.9166552, 124.6943663"
DONSOL,"12.9077161, 123.5986056"
MARIPIPI,"11.7784058, 124.3484417"
DIMIAO,"9.6057125, 124.1623535"
MACALELON,"13.7476253, 122.1404468"
TAGKAWAYAN,"13.9656058, 122.5392058"
PANGIL,"14.4029123, 121.4677652"
HADJI MOHAMMAD AJUL,"6.642755, 122.2732208"
CITY OF BAYAWAN (TULONG),"9.3661533, 122.804837"
BAAO,"13.4531948, 123.3663867"
BALIANGAO,"8.6603518, 123.6024796"
PRIETO DIAZ,"13.0404252, 124.1935375"
SANTA IGNACIA,"15.6161567, 120.4359327"
LAGONOY,"13.7353849, 123.520948"
PAMBUJAN,"12.5639616, 124.9282311"
MALLIG,"17.2112124, 121.6108848"
PURA,"15.6236937, 120.6469386"
KINOGUITAN,"8.9840257, 124.7911165"
IROSIN,"12.7038417, 124.0320966"
SANCHEZ-MIRA,"18.5603984, 121.2342313"
CITY OF KABANKALAN,"10.00392345, 122.80592064395273"
BULAN,"6.1333333, 121.8333333"
SANTA ELENA,"14.1799094, 122.3923266"
SANTA LUCIA,"17.1204469, 120.4491232"
CUARTERO,"11.3411591, 122.6694276"
MARIBOJOC,"9.7409309, 123.8429701"
ARAYAT,"15.1504805, 120.772694"
JANIUAY,"10.949146, 122.5019623"
BALASAN,"11.472018, 123.0887179"
CAN-AVID,"11.9968852, 125.4485155"
TUBAO,"16.3470326, 120.4126153"
VIRAC (CAPITAL),"13.5849, 124.2066"
MALUSO,"6.5441937, 121.8696486"
JOLO (CAPITAL),"14.749057350000001, 121.06943035"
SUMISIP,"6.4192786, 122.0341261"
URBIZTONDO,"15.8223901, 120.3293751"
BALABAGAN,"7.5093206, 124.127834"
ISULAN (CAPITAL),"14.748500305374877, 121.0695204915494"
NUNUNGAN,"7.7874638, 123.9104982"
GETAFE,"10.1497111, 124.1535145"
WAO,"7.6382215, 124.7241605"
NATIVIDAD,"16.0427467, 120.7946807"
BALINGASAG,"8.7428634, 124.7755689"
UNGKAYA PUKAN,"6.495604, 122.105704"
MALUNGON,"6.375677, 125.2680723"
PAYAO,"7.50094875, 122.71301627667295"
UBAY,"10.0540129, 124.4740811"
PULUPANDAN,"10.5192005, 122.8034563"
TUBLAY,"16.4748754, 120.6327365"
GAINZA,"13.601563500000001, 123.12119642993326"
AKBAR,"6.6653464, 122.1954435"
TUNGAWAN,"7.6012214, 122.421282"
SAN GABRIEL,"16.673886, 120.4011842"
LIANGA,"8.6330237, 126.0934758"
MILAGROS,"12.218165, 123.5093507"
CARAMORAN,"13.9838351, 124.1338718"
APARRI,"18.3573529, 121.6374711"
KIANGAN,"16.7791729, 121.0856785"
CUYO,"10.8551218, 121.008475"
BROOKE'S POINT,"8.7736019, 117.8389787"
GENERAL TINIO (PAPAYA),"15.3634, 121.2168"
PALUAN,"13.4158295, 120.4626484"
LAOANG,"12.5688537, 125.0152917"
TIGBAO,"7.8208072, 123.2235087"
PLACER,"11.8702901, 123.9182252"
TAGBINA,"8.4573568, 126.1590719"
RAGAY,"13.8210634, 122.78763"
DEL GALLEGO,"13.9225812, 122.5938087"
SISON,"16.1726711, 120.5096939"
BATUAN,"9.7840762, 124.1491353"
PAMPLONA,"18.4641165, 121.3405544"
TAMPARAN,"7.8765155, 124.3264879"
CITY OF SIPALAY,"9.7198, 122.4920"
DIPOLOG CITY (CAPITAL),"14.5369952, 121.03918568021274"
TALAKAG,"8.2323589, 124.6031485"
PIAGAPO,"7.989793, 124.1796138"
LABASON,"8.0650994, 122.5249426"
BALETE,"14.0173703, 121.0953576"
ANAO,"15.7286873, 120.6266345"
KABACAN,"7.1082139, 124.8233384"
BADIANGAN,"10.9863355, 122.5367496"
PIDDIG,"18.1635915, 120.7165263"
CALABANGA,"13.708545, 123.2157561"
GANASSI,"7.8260261, 124.1018827"
ALFONSO LISTA (POTIA),"16.9258489, 121.4862314"
RAJAH BUAYAN,"6.9077057, 124.5514195"
NORALA,"6.5212891, 124.6604473"
OLUTANGA,"7.310729, 122.8451368"
SAN ANDRES,"14.5727895, 121.004113"
DOLORES,"14.0170009, 121.4016469"
MAYANTOC,"15.6192819, 120.3779681"
SALVADOR BENEDICTO,"10.577077, 123.220367"
PADRE GARCIA,"13.8804288, 121.2137777"
NEW LUCENA,"10.8776999, 122.596704"
KAPAI,"8.0736026, 124.3638057"
DAO,"11.3940224, 122.6852422"
MANDAON,"12.2266459, 123.2849134"
GIGAQUIT,"9.5958188, 125.697637"
BASUD,"14.06904, 122.9627842"
AJUY,"11.1713335, 123.0199077"
LANTAPAN,"7.9983082, 125.0228905"
INDANAN,"5.9728882, 120.9702286"
PRESIDENT ROXAS,"7.1577578, 125.0513245"
CITY OF BAYUGAN,"8.7226205, 125.7347276"
MINA,"10.9300742, 122.5742724"
LINAMON,"8.1839585, 124.1569454"
BALUD,"12.0384347, 123.1933683"
GONZAGA,"18.2612024, 121.9966488"
ISABEL,"10.9260948, 124.4343966"
GUIUAN,"11.0306685, 125.7236686"
KAPALONG,"7.5855037, 125.7076466"
KIBLAWAN,"6.6206059, 125.2542074"
SAN FRANCISCO (AURORA),"13.2978, 122.5599"
ANGADANAN,"16.7568394, 121.7480912"
INOPACAN,"10.5003419, 124.7398262"
PARACELIS,"17.1809095, 121.4036126"
SAN CLEMENTE,"15.7121843, 120.3602147"
MIDSALIP,"8.0307675, 123.3171861"
TALIPAO,"5.9750727, 121.114474"
NAAWAN,"8.4336209, 124.2909727"
DINGLE,"11.0000758, 122.6717839"
MAASIM,"5.8610055, 124.9967013"
NABUNTURAN (CAPITAL),"7.6038, 125.9632"
DUMALAG,"11.3042392, 122.6214871"
BAROY,"8.0244948, 123.7794482"
KABASALAN,"7.7974574, 122.7619459"
AGDANGAN,"13.8759428, 121.9141841"
TITAY,"7.8692108, 122.5607307"
DIPLAHAN,"7.6915261, 122.9851526"
CORON,"11.9985507, 120.2051611"
RIZAL (MARCOS),"9.034095, 117.6425658"
PARANG,"5.9138656, 120.9069555"
BONTOC (CAPITAL),"14.526834040779658, 121.04754416836975"
KADINGILAN,"7.6001249, 124.9099274"
NUMANCIA,"11.704435, 122.3288949"
DATU BLAH T. SINSUAT,"7.0678918, 124.0189526"
KIAMBA,"5.9879555, 124.6241575"
CARAMOAN,"13.7681398, 123.8624978"
CALAMBA,"14.2060217, 121.1556496"
GAMU,"17.0473401, 121.8333707"
OPOL,"8.44700535, 124.53628627709304"
MUNAI,"8.0787755, 124.052425"
DELFIN ALBANO (MAGSAYSAY),"17.3045743, 121.7789303"
BAGUMBAYAN,"14.4735802, 121.0589607"
TALISAYAN,"8.9974839, 124.8846137"
CAMALANIUGAN,"18.273536, 121.6757107"
CALBIGA,"11.6274469, 125.0170454"
KALAWIT,"7.9077809, 122.5239358"
BASAY,"9.4079168, 122.640498"
DUPAX DEL SUR,"16.2842827, 121.091306"
NEW CORELLA,"7.5860365, 125.8225661"
LOBO,"13.6476552, 121.2102789"
DOÑA REMEDIOS TRINIDAD,"14.9706036, 121.0647854"
CITY OF MASBATE (CAPITAL),"12.3574, 123.5504"
CALATAGAN,"13.8329883, 120.6322361"
GARCIA HERNANDEZ,"9.614319, 124.2954003"
ZAMBOANGUITA,"9.1004649, 123.1994244"
BULALACAO (SAN PEDRO),"13.4329212, 123.5181186"
MATNOG,"12.5854588, 124.0847727"
CAPUL,"12.4230698, 124.1822429"
MAPANDAN,"16.0269118, 120.4537476"
MONTEVISTA,"7.7030449, 125.9879183"
GIGMOTO,"13.7786693, 124.3911728"
PATNONGON,"10.9133046, 121.9950021"
PALAUIG,"15.4334062, 119.9099993"
GOA,"13.6973443, 123.4885073"
ABORLAN,"9.4371009, 118.5484168"
LAGUINDINGAN,"8.5747178, 124.4408927"
PEÑABLANCA,"17.6248562, 121.7844749"
SIERRA BULLONES,"9.8078938, 124.2913422"
MAGALLANES,"14.1874692, 120.7573248"
RAMON,"16.7815027, 121.5351148"
TANUDAN,"17.2815631, 121.2317848"
QUIRINO,"16.283333, 121.583333"
CAJIDIOCAN,"12.3687233, 122.6865217"
BANGUED (CAPITAL),"17.5882, 120.6315"
DANGLAS,"17.6933042, 120.6644745"
CORCUERA,"12.7840784, 122.0474912"
BURDEOS,"14.8435644, 121.9693383"
BALER (CAPITAL),"14.646370505216508, 121.02146874399791"
PANAY,"11.1728123, 122.55576877103715"
ENRIQUE VILLANUEVA,"9.2762125, 123.6471289"
SARANGANI,"5.874722, 125.275278"
DUPAX DEL NORTE,"16.3073041, 121.1017442"
ANILAO,"10.9789447, 122.7511638"
JONES,"16.561296, 121.7022613"
PAGUDPUD,"18.5593916, 120.7869782"
ANTIPAS,"7.2475903, 125.0550521"
TAPAZ,"11.2620268, 122.5358792"
MA-AYON,"11.3871513, 122.7811911"
BACUAG,"9.6084227, 125.6382344"
MERCEDES,"11.0986331, 125.710348"
PALAYAN CITY (CAPITAL),"14.6643555, 121.0519743"
BENITO SOLIVEN,"16.9865052, 121.9578429"
TANDUBAS,"5.1349924, 120.3460023"
SAGÑAY,"13.6044805, 123.5216164"
VILLASIS,"15.9015861, 120.5883085"
BALOI,"8.1155656, 124.2220178"
SAN RICARDO,"9.9139621, 125.2764986"
ALUBIJID,"8.5704786, 124.4711949"
SAN PABLO,"14.0700502, 121.3255974"
BALUNGAO,"15.8977234, 120.67179"
DAUIN,"9.1897165, 123.26577"
NEW WASHINGTON,"11.6508856, 122.4320224"
DAPA,"9.7577166, 126.0528849"
BAUNGON,"8.3126139, 124.6872041"
BAMBANG,"16.3850624, 121.1054715"
MATALAM,"7.0897351, 124.9022956"
BUHI,"13.4342347, 123.5171171"
BALINGOAN,"9.0038881, 124.8502124"
NARRA,"9.2694766, 118.4039018"
MALAPATAN,"5.9707512, 125.2882717"
MAKATO,"11.7116342, 122.2924728"
MANTICAO,"8.4032763, 124.2888219"
JIABONG,"11.7628314, 124.9501866"
HAMTIC,"10.7003591, 121.9808152"
SAN QUINTIN,"15.9843124, 120.8131571"
MAMBURAO (CAPITAL),"13.2682, 120.6205"
MALIMONO,"9.6182968, 125.401648"
LAZI,"9.1284365, 123.6338696"
VALLADOLID,"10.461548, 122.8234493"
CAMALIGAN,"13.6210464, 123.1639475"
CANLAON CITY,"10.386953, 123.2186238"
CAPALONGA,"14.3310366, 122.4924688"
MAYOYAO,"16.9726024, 121.2221163"
PEREZ,"14.1935057, 121.9243637"
SITANGKAI,"4.6625499, 119.3938939"
DANAO,"10.5194879, 124.0271297"
DUMARAN,"10.5290452, 119.7692022"
BONGAO (CAPITAL),"5.1042, 119.8121"
MANAY,"7.2109327, 126.5399142"
IVISAN,"11.521667, 122.690833"
PADADA,"6.6388664, 125.3419089"
MAYORGA,"10.9034481, 125.0059346"
MAGUING,"7.8887846, 124.3712164"
GAMAY,"12.3867359, 125.3015079"
VERUELA,"8.0710344, 125.9540733"
LOPE DE VEGA,"12.2995428, 124.6249992"
BANAUE,"16.9117913, 121.0614068"
ALABEL (CAPITAL),"6.1042, 125.2879"
SIBUTU,"4.8408032, 119.458997"
OCAMPO,"13.5581721, 123.3729397"
MERIDA,"10.9081163, 124.5383375"
CANDONI,"9.8306756, 122.6429611"
ESTANCIA,"11.4560924, 123.1510998"
SARA,"11.2566801, 123.0143933"
TOBIAS FORNIER (DAO),"10.5160978, 121.94525986941176"
RIZAL (LIWAN),"17.4930, 121.6055"
TRINIDAD,"10.0792217, 124.3430533"
LILA,"9.5906941, 124.0953479"
RAMON MAGSAYSAY (LIARGO),"8.0042, 123.4608"
KABUNTALAN (TUMBAO),"7.1180891, 124.3639908"
IBAJAY,"11.820578, 122.1618962"
LIBON,"13.2988701, 123.4360839"
MEDINA,"8.911603, 125.0245634"
PAGALUNGAN,"7.0599392, 124.6992377"
LARENA,"9.2488946, 123.5910019"
ALEOSAN,"7.1585808, 124.5774001"
POONA PIAGAPO,"8.1328988, 124.1177626"
FAMY,"14.4354493, 121.4491564"
SANTO NIÑO,"17.8839124, 121.5692104"
LUGAIT,"8.3431526, 124.2597747"
MAUBAN,"14.1900544, 121.7314732"
SIKATUNA,"9.6878902, 123.9740416"
PANGLIMA SUGALA (BALIMBING),"5.0722433, 119.8842215"
CITY OF BORONGAN (CAPITAL),"11.6080, 125.4329"
BANGUI,"18.5367387, 120.7657563"
JASAAN,"8.6504031, 124.7547085"
TAPUL,"5.7051707, 120.8818507"
PINUKPUK,"17.5759915, 121.3674483"
VINZONS,"14.1739546, 122.907596"
LACUB,"17.6643781, 120.9456603"
KITAOTAO,"7.6389703, 125.0089657"
CALAYAN,"19.2612602, 121.4756285"
PAGAGAWAN,"7.077019, 124.7487629"
DAPITAN CITY,"8.6549449, 123.4243754"
MAGDIWANG,"12.4913166, 122.5146837"
ANDA,"9.7440884, 124.5754446"
PRES. MANUEL A. ROXAS,"8.5183, 123.2328"
MASINLOC,"15.5386413, 119.9496856"
BACONG,"9.2452115, 123.2951117"
LUBANG,"13.8592951, 120.1227812"
LILOY,"8.1215661, 122.6737425"
LOAY,"9.6001121, 124.0103952"
ARACELI,"10.5535521, 119.9891472"
LAKE SEBU,"6.2259996, 124.7115688"
POLA,"13.1435504, 121.4416056"
TINOC,"16.6754703, 120.9363914"
SIRUMA,"14.0205642, 123.2586653"
PANTAR,"8.061219, 124.2642034"
HINATUAN,"8.3656147, 126.3358067"
LAGONGLONG,"8.8058529, 124.7877432"
POLANGUI,"13.3227666, 123.51281383021617"
CAGDIANAO,"9.9238959, 125.6698325"
EL NIDO (BACUIT),"11.1816874, 119.386887"
CITY OF TANDAG (CAPITAL),"9.1012, 126.1589"
PANTAO RAGAT,"8.0610559, 124.1846453"
SEVILLA,"9.7032416, 124.0457161"
SALCEDO (BAUGEN),"17.1503, 120.5481"
BUUG,"7.7309445, 123.0598716"
LLANERA,"15.6624599, 121.0220525"
BAUTISTA,"15.8104339, 120.4761471"
CULION,"11.8905322, 120.0220973"
PINABACDAO,"11.6134513, 124.9836777"
SANTA,"17.4859899, 120.4345364"
SUDIPEN,"16.9060713, 120.4618395"
SALAY,"8.8588765, 124.7868157"
SANTA MARGARITA,"12.0379945, 124.6577853"
TIBIAO,"11.2886284, 122.0342615"
MOBO,"12.3366103, 123.6580769"
TUMAUINI,"17.2740459, 121.809876"
MAGPET,"7.102802, 125.1247716"
BALENO,"12.4738762, 123.4975215"
BIEN UNIDO,"10.1407871, 124.376916"
ARAKAN,"7.3522459, 125.1281821"
GODOD,"8.0019148, 122.8438815"
SIAY,"7.7093782, 122.86725"
TALAINGOD,"7.6325607, 125.5751491"
CATAINGAN,"11.9996467, 123.9978457"
LAUA-AN,"11.1429506, 122.0416027"
TINGLAYAN,"17.2659982, 121.1482339"
GUINDULUNGAN,"6.9766551, 124.3862549"
BADOC,"17.9267006, 120.4740893"
ANAHAWAN,"10.3446543, 124.8665247"
PAGSANGHAN,"11.9653658, 124.7212558"
TAGO,"9.0194997, 126.2331544"
TUNGA,"11.2460631, 124.7512738"
MAKILALA,"6.9591335, 125.089577"
MAPANAS,"12.4752025, 125.255472"
KIBUNGAN,"16.6950155, 120.6550855"
ALMAGRO,"11.9115831, 124.2863622"
PIO V. CORPUZ (LIMBUHAN),"11.8841584, 124.04726487570176"
PINILI,"17.9526115, 120.5273877"
SILVINO LOBOS,"12.3266874, 124.8469461"
MULANAY,"13.5231551, 122.4043437"
SAN JOSE DE BUAN,"12.0529566, 125.0254897"
DIPACULAO,"15.8483803, 121.5367634"
TAGANA-AN,"9.6973759, 125.5826923"
SANTA JOSEFA,"7.9844761, 126.0288095"
DITSAAN-RAMAIN,"7.9788768, 124.3516506"
DUMALNEG,"18.5203924, 120.812245"
USON,"12.2251109, 123.78466"
SANTO DOMINGO (LIBOG),"13.2342002, 123.7785364"
CAOAYAN,"17.5468059, 120.3827051"
PIDIGAN,"17.570304, 120.5899441"
PASUQUIN,"18.3339819, 120.6194886"
VINTAR,"18.2306726, 120.6491506"
SAN FRANCISCO (ANAO-AON),"9.7785695, 125.4219894"
LAWAAN,"11.1403377, 125.3009712"
GUINDULMAN,"9.7619221, 124.4879217"
MACROHON,"10.0766352, 124.9401658"
PEÑARANDA,"15.3525981, 120.999887"
TUBAY,"9.1650676, 125.5226912"
REINA MERCEDES,"16.9850846, 121.8279423"
TALAYAN,"6.9841524, 124.3560226"
BUCAY,"17.5384336, 120.7187526"
CASIGURAN,"16.2770406, 122.1233258"
KIBAWE,"7.5687481, 124.9856942"
VILLAVICIOSA,"17.4378456, 120.6256845"
BELISON,"10.8374618, 121.9621456"
MINALABAC,"13.39068915, 123.15397232280563"
SANTA PRAXEDES,"18.5634924, 120.9908099"
MALANGAS,"7.6321118, 123.0303669"
BAYABAS,"8.9674102, 126.2828165"
JABONGA,"9.3425441, 125.5163749"
BANSUD,"12.8640556, 121.4555057"
CARRASCAL,"9.3688403, 125.9495398"
MADRID,"9.2617815, 125.9637534"
BALLESTEROS,"18.4094347, 121.5147489"
RAMOS,"15.6658597, 120.6397227"
ROMBLON (CAPITAL),"14.66743505, 120.99783835"
LOPEZ JAENA,"8.5530838, 123.7657748"
BARIRA,"7.4705878, 124.355677"
ALBURQUERQUE,"9.6103538, 123.9569048"
JAVIER (BUGHO),"10.7929104, 124.9362671"
LUBA,"17.3173222, 120.6946459"
TALACOGON,"8.4486711, 125.7861565"
NAGA,"13.6240122, 123.1850318"
TANGCAL,"8.0459087, 123.9418102"
TAYUG,"16.0275524, 120.7443637"
