CityMunRes,CityMunCoord
SAN JOSE,"15.7917408, 120.989145"
MARIVELES,"14.411233450000001, 120.41440049331126"
SAN MIGUEL,"15.1405274, 120.9770621"
CABIAO,"15.2512658, 120.8567919"
PILA,"14.2347317, 121.3640614"
LA CARLOTA CITY,"10.426872849999999, 122.92077876685069"
LICAB,"15.5403458, 120.7634483"
CITY OF NAVOTAS,"14.6571862, 120.9479692"
BAMBAN,"15.2733238, 120.5672692"
LAMBUNAO,"11.0553435, 122.4746304"
BUTUAN CITY (CAPITAL),"14.7485703, 121.07147265"
CITY OF TARLAC (CAPITAL),"15.4755, 120.5963"
MATANAO,"6.709707, 125.2170514"
CARIGARA,"11.3017446, 124.6872516"
CITY OF TAYABAS,"14.0263471, 121.5918364"
BAYOMBONG (CAPITAL),"16.4804, 121.1481"
CAMILING,"15.6864622, 120.414656"
BASISTA,"15.8679792, 120.4117592597337"
ALFONSO CASTANEDA,"15.793314, 121.3035569"
KALAMANSIG,"6.5545839, 124.050599"
INFANTA,"14.7469297, 121.6495987"
GUINOBATAN,"13.1904597, 123.5999458"
CITY OF TAGUM (CAPITAL),"7.4471, 125.8094"
CASTILLEJOS,"14.9320671, 120.2005402"
CITY OF URDANETA,"16.0037964, 120.5756295"
CITY OF PANABO,"7.29987, 125.6807086"
CITY OF MATI (CAPITAL),"6.9522, 126.2173"
CITY OF BALANGA (CAPITAL),"14.6799, 120.5421"
MARANTAO,"7.9482892, 124.2315699"
SAN PABLO CITY,"14.07477645, 121.3260380832028"
CITY OF DIGOS (CAPITAL),"6.7388, 125.3549"
MENDEZ (MENDEZ-NUÑEZ),"14.1200102, 120.9090779"
NAGCARLAN,"14.1332036, 121.4153448"
LUBAO,"14.9378136, 120.600497"
SAN SIMON,"14.9954506, 120.7791636"
LAUR,"15.5797175, 121.1865246"
MAJAYJAY,"14.1455816, 121.4725083"
CORDOVA,"10.21238825, 123.94960409471258"
JIMALALUD,"9.9791298, 123.2004503"
MABALACAT CITY,"15.210820900000002, 120.57892464124379"
APALIT,"14.9546856, 120.78306132562332"
CITY OF TALISAY,"10.253196599999999, 123.870345956212"
LAPU-LAPU CITY (OPON),"10.270553799999998, 124.05970731007221"
LABANGAN,"7.8633445, 123.5153101"
ASINGAN,"16.0037829, 120.6702443"
MOGPOG,"13.4735672, 121.8608199"
